R1,5k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.digikey.com/product-detail/en/vishay-thin-film/PNM0805E5001BST5/PNM0805-5.0KBCT-ND/2120390
R2,5k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.digikey.com/product-detail/en/vishay-thin-film/PNM0805E5001BST5/PNM0805-5.0KBCT-ND/2120390
R3,49.9,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB49R9V/P49.9DACT-ND/3075164
R4,49.9,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB49R9V/P49.9DACT-ND/3075164
R5,5k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.digikey.com/product-detail/en/vishay-thin-film/PNM0805E5001BST5/PNM0805-5.0KBCT-ND/2120390
R6,5k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.digikey.com/product-detail/en/vishay-thin-film/PNM0805E5001BST5/PNM0805-5.0KBCT-ND/2120390
R7,49.9,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB49R9V/P49.9DACT-ND/3075164
R8,49.9,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB49R9V/P49.9DACT-ND/3075164
U1,Gentec_QuadCell,TO_Cans:TO-8_Can_12_Leads,
U2,OPA657,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.com/product-detail/en/texas-instruments/OPA657UB/OPA657UB-ND/431976
U3,OPA657,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.com/product-detail/en/texas-instruments/OPA657UB/OPA657UB-ND/431976
U4,OPA657,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.com/product-detail/en/texas-instruments/OPA657UB/OPA657UB-ND/431976
U5,OPA657,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.digikey.com/product-detail/en/texas-instruments/OPA657UB/OPA657UB-ND/431976
